sample_sha	sample_date	row_ident	verdict
df13f3e	2026-08-26	declaration_ignored_tracked	PROVEN
df13f3e	2026-08-26	unknown_grade_write	PROVEN
df13f3e	2026-08-26	foreign_origin_item	PROVEN
df13f3e	2026-08-26	join_undisposed	PROVEN
df13f3e	2026-08-26	new_without_absence	PROVEN
df13f3e	2026-08-26	cost_test_veto	PROVEN
df13f3e	2026-08-26	cost_test_unverified	PROVEN
df13f3e	2026-08-26	blocker_untyped	PROVEN
df13f3e	2026-08-26	dangling_reference_item	PROVEN
df13f3e	2026-08-26	parked_without_typed_blocker	PROVEN
df13f3e	2026-08-26	duplicate_id_cross_home	PROVEN
df13f3e	2026-08-26	conservation_short	PROVEN
df13f3e	2026-08-26	conservation_surplus	PROVEN
df13f3e	2026-08-26	conservation_unverified	PROVEN
df13f3e	2026-08-26	ledger_body	PROVEN
df13f3e	2026-08-26	closure_home_split	PROVEN
df13f3e	2026-08-26	dangling_reference	NO_MUTATION_RECORDED
df13f3e	2026-08-26	declaration_absent	NO_MUTATION_RECORDED
df13f3e	2026-08-26	declaration_ignored	NO_MUTATION_RECORDED
df13f3e	2026-08-26	declaration_malformed	NO_MUTATION_RECORDED
df13f3e	2026-08-26	declaration_malformed_missing_key	NO_MUTATION_RECORDED
df13f3e	2026-08-26	duplicate_id	NO_MUTATION_RECORDED
df13f3e	2026-08-26	emit_site_unregistered	NO_MUTATION_RECORDED
df13f3e	2026-08-26	item_shape	NO_MUTATION_RECORDED
df13f3e	2026-08-26	kind_stage_undeclared	NO_MUTATION_RECORDED
df13f3e	2026-08-26	laws_absent_could_not_verify	NO_MUTATION_RECORDED
df13f3e	2026-08-26	laws_over_cap	NO_MUTATION_RECORDED
df13f3e	2026-08-26	ledger_shape	NO_MUTATION_RECORDED
df13f3e	2026-08-26	migrate_would_overwrite	NO_MUTATION_RECORDED
df13f3e	2026-08-26	migration_ledger_nonzero	NO_MUTATION_RECORDED
df13f3e	2026-08-26	migration_unclassified	NO_MUTATION_RECORDED
df13f3e	2026-08-26	move_uncommitted	NO_MUTATION_RECORDED
df13f3e	2026-08-26	new_without_typed_blocker	NO_MUTATION_RECORDED
df13f3e	2026-08-26	repo_unresolved	NO_MUTATION_RECORDED
df13f3e	2026-08-26	roster_absent	NO_MUTATION_RECORDED
df13f3e	2026-08-26	schema_above_floor	NO_MUTATION_RECORDED
df13f3e	2026-08-26	trigger_broken	NO_MUTATION_RECORDED
df13f3e	2026-08-26	unknown_grade_read	NO_MUTATION_RECORDED
df13f3e	2026-08-26	unknown_item	NO_MUTATION_RECORDED
df13f3e	2026-08-26	unknown_source	NO_MUTATION_RECORDED
df13f3e	2026-08-26	unregistered_kind	NO_MUTATION_RECORDED
2bdff33	2026-08-26	declaration_ignored_tracked	PROVEN
2bdff33	2026-08-26	unknown_grade_write	PROVEN
2bdff33	2026-08-26	foreign_origin_item	PROVEN
2bdff33	2026-08-26	join_undisposed	PROVEN
2bdff33	2026-08-26	new_without_absence	PROVEN
2bdff33	2026-08-26	cost_test_veto	PROVEN
2bdff33	2026-08-26	cost_test_unverified	PROVEN
2bdff33	2026-08-26	blocker_untyped	PROVEN
2bdff33	2026-08-26	dangling_reference_item	PROVEN
2bdff33	2026-08-26	parked_without_typed_blocker	PROVEN
2bdff33	2026-08-26	duplicate_id_cross_home	PROVEN
2bdff33	2026-08-26	conservation_short	PROVEN
2bdff33	2026-08-26	conservation_surplus	PROVEN
2bdff33	2026-08-26	conservation_unverified	PROVEN
2bdff33	2026-08-26	ledger_body	PROVEN
2bdff33	2026-08-26	closure_home_split	PROVEN
2bdff33	2026-08-26	declaration_absent	PROVEN
2bdff33	2026-08-26	declaration_malformed	PROVEN
2bdff33	2026-08-26	declaration_malformed_missing_key	PROVEN
